Hutton, Eric; University of Colorado; Adams, Jordan;          Tulane;                                 Collaborator
Hutton, Eric; University of Colorado; Ashton, Andrew;         WHOI;                                   Collaborator
Hutton, Eric; University of Colorado; Brown, Jed;             University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Esposito, Fancesca;     Osservatorio Astronomico di Capodimonte;Collaborator
Hutton, Eric; University of Colorado; Gasparini, Nicole;      Tulane;                                 Collaborator
Hutton, Eric; University of Colorado; Giosan, Liviu;          WHOI;                                   Collaborator
Hutton, Eric; University of Colorado; Hill, Mary;             University of Kansas;                   Collaborator
Hutton, Eric; University of Colorado; Hobley, Dan;            University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Hoke, Monica;           University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Hynek, Brian;           University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Istanbulluoglu, Erkan;  University of Washington;               Collaborator
Hutton, Eric; University of Colorado; Kettner, Kettner;       University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Kelbert, Anna;          USGS;                                   Collaborator
Hutton, Eric; University of Colorado; Maselli, Vittorio;      ISMAR-CNR;                              Collaborator
Hutton, Eric; University of Colorado; Nienhuis, Jaap;         WHOI;                                   Collaborator
Hutton, Eric; University of Colorado; Norris, Boyana;         University of Oregon;                   Collaborator
Hutton, Eric; University of Colorado; Nudurupati, Sai;        University of Washington;               Collaborator
Hutton, Eric; University of Colorado; Overeem, Irina;         University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Piper, Mark;            University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Rossi, Angelo;          International Space Science Institute;  Collaborator
Hutton, Eric; University of Colorado; Steckler, Michael;      Lamont-Doherty Earth Observatory;       Collaborator
Hutton, Eric; University of Colorado; Trincardi, Fabio;       ISMAR-CNR;                              Collaborator
Hutton, Eric; University of Colorado; Tucker, Greg;           University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Wallis, Jillian;        University of Southern California;      Collaborator
Hutton, Eric; University of Colorado; Watts, Allan;           Oxford;                                 Collaborator
Hutton, Eric; University of Colorado; Xing, Fei;              University of Colorado;                 Collaborator
Hutton, Eric; University of Colorado; Zissimopoulos, Julie;   University of Southern California;      Collaborator
Hutton, Eric; University of Colorado; Anderson, Robert;       University of Colorado;                 Advisor
Hutton, Eric; University of Colorado; Peckham, Scott;         University of Colorado;                 Advisor
Hutton, Eric; University of Colorado; Pitlick, John;          University of Colorado;                 Advisor
Hutton, Eric; University of Colorado; Pfeffer, Tad;           University of Colorado;                 Advisor
Hutton, Eric; University of Colorado; Syvitski, James;        University of Colorado;                 Advisor
